2020-10-27 12:21:54 [                          main] ClassPathXmlApplicationContext DEBUG Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@79da8dc5
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Loading file META-INF/services/org/apache/camel/TypeConverterLoader to retrieve list of type converters, from url: jar:file:/E:/Customer-large-file-size/camel-netty-socket-jms-spring/release/lib/camel-http-3.0.0.jar!/META-INF/services/org/apache/camel/TypeConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Loading file META-INF/services/org/apache/camel/TypeConverterLoader to retrieve list of type converters, from url: jar:file:/E:/Customer-large-file-size/camel-netty-socket-jms-spring/release/lib/camel-http-common-3.0.0.jar!/META-INF/services/org/apache/camel/TypeConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Loading file META-INF/services/org/apache/camel/TypeConverterLoader to retrieve list of type converters, from url: jar:file:/E:/Customer-large-file-size/camel-netty-socket-jms-spring/release/lib/camel-attachments-3.0.0.jar!/META-INF/services/org/apache/camel/TypeConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Loading file META-INF/services/org/apache/camel/TypeConverterLoader to retrieve list of type converters, from url: jar:file:/E:/Customer-large-file-size/camel-netty-socket-jms-spring/release/lib/camel-spring-3.0.0.jar!/META-INF/services/org/apache/camel/TypeConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.CamelConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.CamelConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.CollectionConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.CollectionConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.DateTimeConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.DateTimeConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.DurationConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.DurationConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.IOConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.IOConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.NIOConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.NIOConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.ObjectConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.ObjectConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.SQLConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.SQLConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.TimePatternConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.TimePatternConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.impl.converter.UriTypeConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.impl.converter.UriTypeConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.jaxp.DomConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.jaxp.DomConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.jaxp.StaxConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.jaxp.StaxConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.jaxp.StreamSourceConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.jaxp.StreamSourceConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.jaxp.XmlConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.jaxp.XmlConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.util.xml.StreamSourceConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.util.xml.StreamSourceConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.component.file.GenericFileConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.component.file.GenericFileConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.component.netty.NettyConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.component.netty.NettyConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.converter.stream.StreamCacheConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.converter.stream.StreamCacheConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.component.http.HttpEntityConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.component.http.HttpEntityConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.http.common.HttpConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.http.common.HttpConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.attachment.AttachmentConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.attachment.AttachmentConverterLoader loading converters
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG Resolving TypeConverterLoader: org.apache.camel.spring.converter.ResourceConverterLoader
2020-10-27 12:21:55 [                          main] DefaultTypeConverter           DEBUG TypeConverterLoader: org.apache.camel.spring.converter.ResourceConverterLoader loading converters
2020-10-27 12:21:55 [                          main] AnnotationTypeConverterLoader  DEBUG No package names found to be used for classpath scanning for annotated type converters.
